ID,TITLE,YEAR,SORTED BY
tm1626671,Saiyaara,2025,IMDB_SCORE
ts4,Breaking Bad,2008,IMDB_SCORE
ts2,Game of Thrones,2011,IMDB_SCORE
ts242607,Scam 1992: The Harshad Mehta Story,2020,IMDB_SCORE
ts20682,Attack on Titan,2013,IMDB_SCORE
ts90311,Vinland Saga,2019,IMDB_SCORE
ts359486,Solo Leveling,2024,IMDB_SCORE
ts395707,The Apothecary Diaries,2023,IMDB_SCORE
ts84657,Kaguya-sama: Love is War,2019,IMDB_SCORE
ts222852,Jujutsu Kaisen,2020,IMDB_SCORE
ts274631,Wednesday,2022,POPULAR
tm54176,Grave of the Fireflies,1988,IMDB_SCORE
ts371634,The Railway Men - The Untold Story of Bhopal 1984,2023,IMDB_SCORE
tm326021,Dream Girl,2016,IMDB_SCORE
ts215712,The Sandman,2022,POPULAR
tm1238268,Thunderbolts*,2025,POPULAR
tm1486839,Weapons,2025,POPULAR
tm1486839,Weapons,2025,TMDB_POPULARITY
tm1570766,Ne Zha 2,2025,TMDB_POPULARITY
ts378603,Turning Point: The Bomb and the Cold War,2024,IMDB_SCORE
tm1424710,Ada Omo Daddy,2023,IMDB_SCORE
ts413191,Dan Da Dan,2024,IMDB_SCORE
tm1444647,28 Years Later,2025,POPULAR
tm1546624,Until Dawn,2025,POPULAR
tm1589939,Materialists,2025,POPULAR
ts2,Game of Thrones,2011,TMDB_POPULARITY
tm1299255,M3GAN 2.0,2025,TMDB_POPULARITY
ts4,Breaking Bad,2008,TMDB_POPULARITY
ts283022,SPY x FAMILY,2022,IMDB_SCORE
ts219080,Caliphate,2020,IMDB_SCORE
ts82915,Sex Education,2019,IMDB_SCORE
tm1487675,Drop,2025,POPULAR
tm1287083,Ballerina,2025,POPULAR
tm1299255,M3GAN 2.0,2025,POPULAR
tm1444647,28 Years Later,2025,TMDB_POPULARITY
ts395707,The Apothecary Diaries,2023,TMDB_POPULARITY
ts215712,The Sandman,2022,TMDB_POPULARITY
tm1601353,Tourist Family,2025,IMDB_SCORE
ts87074,Euphoria,2019,IMDB_SCORE
tm1570766,Ne Zha 2,2025,IMDB_SCORE
ts413191,Dan Da Dan,2024,POPULAR
ts4,Breaking Bad,2008,POPULAR
ts2,Game of Thrones,2011,POPULAR
tm1287083,Ballerina,2025,TMDB_POPULARITY
ts359486,Solo Leveling,2024,TMDB_POPULARITY
tm1238268,Thunderbolts*,2025,TMDB_POPULARITY
tm405024,I Want to Eat Your Pancreas,2018,IMDB_SCORE
tm233425,A Silent Voice: The Movie,2016,IMDB_SCORE
tm153143,Mommy,2014,IMDB_SCORE
ts404390,The Eternaut,2025,POPULAR
tm1620730,Predator: Killer of Killers,2025,POPULAR
ts20682,Attack on Titan,2013,POPULAR
ts413191,Dan Da Dan,2024,TMDB_POPULARITY
ts82915,Sex Education,2019,TMDB_POPULARITY
tm371882,Ne Zha,2019,TMDB_POPULARITY
ts369911,Our Oceans,2024,IMDB_SCORE
tm190768,Perfect Blue,1998,IMDB_SCORE
tm1582862,Gowok: Javanese Kamasutra,2025,IMDB_SCORE
tm1489402,The Ugly Stepsister,2025,POPULAR
ts359486,Solo Leveling,2024,POPULAR
ts87074,Euphoria,2019,POPULAR
tm1589939,Materialists,2025,TMDB_POPULARITY
ts274631,Wednesday,2022,TMDB_POPULARITY
ts283022,SPY x FAMILY,2022,TMDB_POPULARITY
tm1380523,TAYLOR SWIFT | THE ERAS TOUR,2023,IMDB_SCORE
ts274631,Wednesday,2022,IMDB_SCORE
ts84280,Rascal Does Not Dream of Bunny Girl Senpai,2018,IMDB_SCORE
tm1434941,Eden,2025,POPULAR
tm1521793,The Last Showgirl,2024,POPULAR
tm371882,Ne Zha,2019,POPULAR
ts399016,Overflow,2020,TMDB_POPULARITY
ts84280,Rascal Does Not Dream of Bunny Girl Senpai,2018,TMDB_POPULARITY
ts461854,"Please Put Them On, Takamine-san",2025,TMDB_POPULARITY
ts87563,Dr. STONE,2019,IMDB_SCORE
tm1486839,Weapons,2025,IMDB_SCORE
ts438720,Ranma1/2,2024,IMDB_SCORE
ts395707,The Apothecary Diaries,2023,POPULAR
ts222852,Jujutsu Kaisen,2020,POPULAR
tm159220,Under the Skin,2014,POPULAR
ts20682,Attack on Titan,2013,TMDB_POPULARITY
tm1626671,Saiyaara,2025,TMDB_POPULARITY
ts222852,Jujutsu Kaisen,2020,TMDB_POPULARITY
ts268266,True Beauty,2020,IMDB_SCORE
tm119226,Talk to Her,2002,IMDB_SCORE
ts80747,Grand Blue Dreaming,2018,IMDB_SCORE
tm53144,Legally Blonde,2001,POPULAR
tm34089,Mamma Mia!,2008,POPULAR
tm327806,The Zone of Interest,2023,POPULAR
ts87074,Euphoria,2019,TMDB_POPULARITY
tm1620730,Predator: Killer of Killers,2025,TMDB_POPULARITY
tm1367857,Culpa Tuya,2024,TMDB_POPULARITY
tm148282,Soldier's Girl,2003,IMDB_SCORE
tm1367583,Night Courier,2023,IMDB_SCORE
ts473467,Turning Point: The Vietnam War,2025,IMDB_SCORE
tm23416,Bring It On,2000,POPULAR
tm57601,American Pie,1999,POPULAR
tm190768,Perfect Blue,1998,POPULAR
ts268266,True Beauty,2020,TMDB_POPULARITY
tm1546624,Until Dawn,2025,TMDB_POPULARITY
tm1489402,The Ugly Stepsister,2025,TMDB_POPULARITY
ts315048,Undercover Underage,2021,IMDB_SCORE
tm432142,Sub Rosa,2014,IMDB_SCORE
ts82879,The Time Traveler's Wife,2022,IMDB_SCORE
tm34019,Y Tu Mamá También,2001,POPULAR
tm1045421,Kraven the Hunter,2024,POPULAR
tm123038,The Story of O,1975,POPULAR
ts321080,Lycoris Recoil,2022,TMDB_POPULARITY
tm1557110,My Fault: London,2025,TMDB_POPULARITY
ts242607,Scam 1992: The Harshad Mehta Story,2020,TMDB_POPULARITY
tm1466382,Loveable,2024,IMDB_SCORE
ts215712,The Sandman,2022,IMDB_SCORE
tm34019,Y Tu Mamá También,2001,IMDB_SCORE
tm1528662,Saturday Night,2024,POPULAR
tm1570766,Ne Zha 2,2025,POPULAR
tm54176,Grave of the Fireflies,1988,POPULAR
ts80747,Grand Blue Dreaming,2018,TMDB_POPULARITY
tm1045421,Kraven the Hunter,2024,TMDB_POPULARITY
tm139217,Fifty Shades of Grey,2015,TMDB_POPULARITY
ts282537,Baby Reindeer,2024,IMDB_SCORE
tm320255,Bad Genius,2017,IMDB_SCORE
tm1098820,Shiddat,2021,IMDB_SCORE
tm139217,Fifty Shades of Grey,2015,POPULAR
tm1311670,Americana,2025,POPULAR
tm138998,Love,2015,POPULAR
tm1200268,Red One,2024,TMDB_POPULARITY
ts282537,Baby Reindeer,2024,TMDB_POPULARITY
ts251675,Hellbound,2021,TMDB_POPULARITY
ts321080,Lycoris Recoil,2022,IMDB_SCORE
tm1477321,The Seed of the Sacred Fig,2024,IMDB_SCORE
tm120702,Belle de Jour,1967,IMDB_SCORE
ts90311,Vinland Saga,2019,POPULAR
tm180545,In Time,2011,POPULAR
tm1626671,Saiyaara,2025,POPULAR
tm1650681,Wall to Wall,2025,TMDB_POPULARITY
ts84657,Kaguya-sama: Love is War,2019,TMDB_POPULARITY
tm1644575,Ziam,2025,TMDB_POPULARITY
ts369912,Our Living World,2024,IMDB_SCORE
tm245607,Madaari,2016,IMDB_SCORE
tm54001,The Reader,2008,IMDB_SCORE
tm1480763,Parthenope,2024,POPULAR
ts87563,Dr. STONE,2019,POPULAR
tm1325511,Napoleon,2023,POPULAR
ts82228,Cells at Work!,2018,TMDB_POPULARITY
ts377016,MILF Manor,2023,TMDB_POPULARITY
tm207121,Fifty Shades Freed,2018,TMDB_POPULARITY
tm1339026,Voy! Voy! Voy!,2023,IMDB_SCORE
tm1334516,Mars Express,2023,IMDB_SCORE
tm828369,Lunana: A Yak in the Classroom,2019,IMDB_SCORE
tm1477321,The Seed of the Sacred Fig,2024,POPULAR
ts283022,SPY x FAMILY,2022,POPULAR
tm322029,Happy Death Day,2017,POPULAR
ts219080,Caliphate,2020,TMDB_POPULARITY
ts394265,"Thank You, Next",2024,TMDB_POPULARITY
tm57601,American Pie,1999,TMDB_POPULARITY
tm37931,Boys Don't Cry,1999,IMDB_SCORE
tm276163,"Night Is Short, Walk On Girl",2017,IMDB_SCORE
ts82228,Cells at Work!,2018,IMDB_SCORE
tm1235927,All We Imagine as Light,2024,POPULAR
ts429197,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,2024,POPULAR
tm1650681,Wall to Wall,2025,POPULAR
ts87563,Dr. STONE,2019,TMDB_POPULARITY
ts371634,The Railway Men - The Untold Story of Bhopal 1984,2023,TMDB_POPULARITY
ts82879,The Time Traveler's Wife,2022,TMDB_POPULARITY
tm1620730,Predator: Killer of Killers,2025,IMDB_SCORE
ts38701,Marriage Contract,2016,IMDB_SCORE
ts44983,Prison School,2015,IMDB_SCORE
tm1092076,The Voyeurs,2021,POPULAR
tm1255032,MaXXXine,2024,POPULAR
tm1419999,The Outrun,2024,POPULAR
tm1519871,Plankton: The Movie,2025,TMDB_POPULARITY
ts386450,Queen Cleopatra,2023,TMDB_POPULARITY
tm142457,Cinderella,2015,TMDB_POPULARITY
tm371882,Ne Zha,2019,IMDB_SCORE
tm35802,Notes on a Scandal,2006,IMDB_SCORE
tm45681,Tootsie,1982,IMDB_SCORE
ts473467,Turning Point: The Vietnam War,2025,POPULAR
tm97441,Easy A,2010,POPULAR
tm1644575,Ziam,2025,POPULAR
tm1172801,Migration,2023,TMDB_POPULARITY
tm193312,Cheeky,2000,TMDB_POPULARITY
ts223233,300 Yen Friendship,2016,TMDB_POPULARITY
tm1151414,Bhoothakaalam,2022,IMDB_SCORE
tm16847,Antonia's Line,1995,IMDB_SCORE
tm1275184,Freddy,2022,IMDB_SCORE
tm1459130,Tim Travers & the Time Travelers Paradox,2025,POPULAR
tm144183,Dogtooth,2009,POPULAR
ts282537,Baby Reindeer,2024,POPULAR
tm1434941,Eden,2025,TMDB_POPULARITY
ts38701,Marriage Contract,2016,TMDB_POPULARITY
tm180545,In Time,2011,TMDB_POPULARITY
tm489966,Two Autumns in Paris,2020,IMDB_SCORE
ts229360,Super Pumped,2022,IMDB_SCORE
tm1570164,Identity,2025,IMDB_SCORE
tm266647,Ocean's Eight,2018,POPULAR
tm1541281,Queen of the Ring,2025,POPULAR
tm1621519,A Widow's Game,2025,POPULAR
ts404390,The Eternaut,2025,TMDB_POPULARITY
tm95026,A Serbian Film,2010,TMDB_POPULARITY
ts378603,Turning Point: The Bomb and the Cold War,2024,TMDB_POPULARITY
ts404390,The Eternaut,2025,IMDB_SCORE
tm971981,Welcome Home,2020,IMDB_SCORE
tm327806,The Zone of Interest,2023,IMDB_SCORE
tm26026,She's the Man,2006,POPULAR
ts82879,The Time Traveler's Wife,2022,POPULAR
tm1568811,Hot Milk,2025,POPULAR
ts369912,Our Living World,2024,TMDB_POPULARITY
tm1467341,Descendants: The Rise of Red,2024,TMDB_POPULARITY
tm167064,Nymphomaniac: Vol. II,2013,TMDB_POPULARITY
ts450770,Don't Come Home,2024,IMDB_SCORE
tm1238268,Thunderbolts*,2025,IMDB_SCORE
tm201765,NH 10,2015,IMDB_SCORE
tm95026,A Serbian Film,2010,POPULAR
ts84280,Rascal Does Not Dream of Bunny Girl Senpai,2018,POPULAR
tm1470567,EMILIA PÉREZ,2024,POPULAR
tm100267,Alice in Wonderland,2010,TMDB_POPULARITY
tm1092076,The Voyeurs,2021,TMDB_POPULARITY
tm1325511,Napoleon,2023,TMDB_POPULARITY
tm26026,She's the Man,2006,TMDB_POPULARITY
tm1356441,That They May Face the Rising Sun,2024,IMDB_SCORE
tm86394,Kamikaze Girls,2004,IMDB_SCORE
tm155920,La Femme Nikita,1990,IMDB_SCORE
tm99672,Bedevilled,2010,IMDB_SCORE
tm85811,The Girl Next Door,2004,POPULAR
tm1608457,Summer of 69,2025,POPULAR
ts82915,Sex Education,2019,POPULAR
tm141574,The Brown Bunny,2003,POPULAR
tm111624,Swingers,2002,TMDB_POPULARITY
tm1255032,MaXXXine,2024,TMDB_POPULARITY
tm233255,Bad Sister,2015,TMDB_POPULARITY
ts315048,Undercover Underage,2021,TMDB_POPULARITY
ts429197,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,2024,IMDB_SCORE
tm1522009,Joy,2024,IMDB_SCORE
tm144183,Dogtooth,2009,IMDB_SCORE
tm1329737,IB 71,2023,IMDB_SCORE
tm1440122,Piece by Piece,2024,POPULAR
tm91470,I Spit on Your Grave,2010,POPULAR
tm58382,Not Another Teen Movie,2001,POPULAR
tm209407,Fifty Shades Darker,2017,TMDB_POPULARITY
tm327806,The Zone of Interest,2023,TMDB_POPULARITY
tm1241329,Joker: Folie à Deux,2024,TMDB_POPULARITY
tm99434,The Whistleblower,2010,IMDB_SCORE
tm106625,"LSD: Love, Sex aur Dhokha",2010,IMDB_SCORE
tm1528662,Saturday Night,2024,IMDB_SCORE
tm165397,Nymphomaniac: Vol. I,2013,POPULAR
tm1529577,Our Little Secret,2024,POPULAR
tm50176,Martyrs,2008,POPULAR
tm53144,Legally Blonde,2001,TMDB_POPULARITY
tm266647,Ocean's Eight,2018,TMDB_POPULARITY
tm85811,The Girl Next Door,2004,TMDB_POPULARITY
tm169717,Venus in Fur,2013,IMDB_SCORE
tm1235927,All We Imagine as Light,2024,IMDB_SCORE
tm88738,Closer,2004,IMDB_SCORE
tm1454863,Humane,2024,POPULAR
tm123639,"Salò, or the 120 Days of Sodom",1976,POPULAR
tm454813,Last Night in Soho,2021,POPULAR
tm1487675,Drop,2025,TMDB_POPULARITY
ts438720,Ranma1/2,2024,TMDB_POPULARITY
ts381098,The Playboy Murders,2023,TMDB_POPULARITY
tm1521200,Sector 36,2024,IMDB_SCORE
tm148548,The Time Traveler's Wife,2009,IMDB_SCORE
tm57601,American Pie,1999,IMDB_SCORE
tm152732,The Rebound,2009,POPULAR
tm150713,Antichrist,2009,POPULAR
tm1529579,Hot Frosty,2024,POPULAR
tm34089,Mamma Mia!,2008,TMDB_POPULARITY
tm233425,A Silent Voice: The Movie,2016,TMDB_POPULARITY
tm1535481,Female Teacher Closing the Door,2021,TMDB_POPULARITY
tm824398,The Platform,2019,IMDB_SCORE
tm41420,Brotherhood of the Wolf,2001,IMDB_SCORE
tm106363,Different for Girls,1996,IMDB_SCORE
tm70842,I Could Never Be Your Woman,2007,POPULAR
tm244180,Red Sparrow,2018,POPULAR
tm1172801,Migration,2023,POPULAR
tm38126,Pleasure or Pain,2013,TMDB_POPULARITY
tm187330,I Spit on Your Grave 2,2013,TMDB_POPULARITY
ts44983,Prison School,2015,TMDB_POPULARITY
tm56463,Sex and Lucía,2001,IMDB_SCORE
tm454813,Last Night in Soho,2021,IMDB_SCORE
tm151980,The Plan Man,2014,IMDB_SCORE
ts80747,Grand Blue Dreaming,2018,POPULAR
tm461898,Swallow,2020,POPULAR
tm1573857,La Dolce Villa,2025,POPULAR
tm105396,The Human Centipede (First Sequence),2009,TMDB_POPULARITY
tm209528,Valerian and the City of a Thousand Planets,2017,TMDB_POPULARITY
tm824398,The Platform,2019,TMDB_POPULARITY
tm97441,Easy A,2010,IMDB_SCORE
tm50176,Martyrs,2008,IMDB_SCORE
tm1287083,Ballerina,2025,IMDB_SCORE
ts381098,The Playboy Murders,2023,POPULAR
tm1550957,Buy Now! The Shopping Conspiracy,2024,POPULAR
ts461854,"Please Put Them On, Takamine-san",2025,POPULAR
tm91470,I Spit on Your Grave,2010,TMDB_POPULARITY
tm23862,Baise-moi,2000,TMDB_POPULARITY
tm110509,Unfaithful,2002,TMDB_POPULARITY
tm1489402,The Ugly Stepsister,2025,IMDB_SCORE
tm142457,Cinderella,2015,IMDB_SCORE
tm867681,Haseen Dillruba,2021,IMDB_SCORE
tm1241329,Joker: Folie à Deux,2024,POPULAR
tm36266,Marie Antoinette,2006,POPULAR
tm78067,The Girl Next Door,2007,POPULAR
tm189040,Indecent Proposal,1993,TMDB_POPULARITY
tm1608457,Summer of 69,2025,TMDB_POPULARITY
tm190768,Perfect Blue,1998,TMDB_POPULARITY
tm608983,Gokuraku Sento Busty Hot Water Momi,2011,IMDB_SCORE
tm165397,Nymphomaniac: Vol. I,2013,IMDB_SCORE
tm1440122,Piece by Piece,2024,IMDB_SCORE
ts377016,MILF Manor,2023,POPULAR
ts321080,Lycoris Recoil,2022,POPULAR
tm1334516,Mars Express,2023,POPULAR
tm100248,Cannibal Holocaust,1980,TMDB_POPULARITY
tm475062,Chernobyl: Abyss,2021,TMDB_POPULARITY
tm1480763,Parthenope,2024,TMDB_POPULARITY
tm1419999,The Outrun,2024,IMDB_SCORE
tm44530,Fashion,2008,IMDB_SCORE
tm1425927,Blink,2024,IMDB_SCORE
tm1601244,Little Siberia,2025,POPULAR
tm1220256,Good Boy,2022,POPULAR
tm166047,Elektra,2005,POPULAR
tm58382,Not Another Teen Movie,2001,TMDB_POPULARITY
tm34019,Y Tu Mamá También,2001,TMDB_POPULARITY
tm50176,Martyrs,2008,TMDB_POPULARITY
tm1035157,Vikrant Rona,2022,IMDB_SCORE
ts387708,Desperate Lies,2024,IMDB_SCORE
tm500226,Good Newwz,2019,IMDB_SCORE
ts452122,Investigation Alien,2024,POPULAR
tm175011,In Secret,2013,POPULAR
tm1397835,Lisa Frankenstein,2024,POPULAR
ts450803,Spice Up Our Love,2024,TMDB_POPULARITY
tm244180,Red Sparrow,2018,TMDB_POPULARITY
tm1632127,The Death of Snow White,2025,TMDB_POPULARITY
tm1444647,28 Years Later,2025,IMDB_SCORE
tm1322774,Jules,2023,IMDB_SCORE
ts351153,Exploding Kittens,2024,IMDB_SCORE
tm824398,The Platform,2019,POPULAR
tm1560906,The Calendar Killer,2025,POPULAR
tm1348997,Little Bites,2024,POPULAR
tm1621519,A Widow's Game,2025,TMDB_POPULARITY
tm175011,In Secret,2013,TMDB_POPULARITY
ts229360,Super Pumped,2022,TMDB_POPULARITY
tm373455,T-34,2018,IMDB_SCORE
tm180545,In Time,2011,IMDB_SCORE
tm1407816,Adire,2023,IMDB_SCORE
tm1445240,Your Monster,2024,POPULAR
tm209528,Valerian and the City of a Thousand Planets,2017,POPULAR
tm1071988,Time Cut,2024,POPULAR
tm119937,The Hot Chick,2002,TMDB_POPULARITY
tm1454863,Humane,2024,TMDB_POPULARITY
tm1419999,The Outrun,2024,TMDB_POPULARITY
tm142327,Young & Beautiful,2013,IMDB_SCORE
tm1550957,Buy Now! The Shopping Conspiracy,2024,IMDB_SCORE
tm85811,The Girl Next Door,2004,IMDB_SCORE
tm1200268,Red One,2024,POPULAR
tm1519871,Plankton: The Movie,2025,POPULAR
tm450615,American Kamasutra,2018,POPULAR
tm150713,Antichrist,2009,TMDB_POPULARITY
tm54001,The Reader,2008,TMDB_POPULARITY
tm41420,Brotherhood of the Wolf,2001,TMDB_POPULARITY
tm191960,U Turn,1997,IMDB_SCORE
tm319299,Benedetta,2021,IMDB_SCORE
tm470186,Dogs Don't Wear Pants,2019,IMDB_SCORE
tm176490,The Skeleton Key,2005,POPULAR
tm37931,Boys Don't Cry,1999,POPULAR
tm45681,Tootsie,1982,POPULAR
ts450770,Don't Come Home,2024,TMDB_POPULARITY
tm193125,Hot Girls Wanted,2015,TMDB_POPULARITY
tm1560906,The Calendar Killer,2025,TMDB_POPULARITY
tm110509,Unfaithful,2002,IMDB_SCORE
tm963023,Chandigarh Kare Aashiqui,2021,IMDB_SCORE
ts450803,Spice Up Our Love,2024,IMDB_SCORE
ts450770,Don't Come Home,2024,POPULAR
tm1527170,Blitz,2024,POPULAR
tm23862,Baise-moi,2000,POPULAR
tm142327,Young & Beautiful,2013,TMDB_POPULARITY
tm159220,Under the Skin,2014,TMDB_POPULARITY
tm36509,The House Bunny,2008,TMDB_POPULARITY
tm1319574,Jeanne du Barry,2023,IMDB_SCORE
tm244244,Novitiate,2017,IMDB_SCORE
